date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:33	20080/20080	---M--	200	added ('OK')	application/font-woff2	etag:%224842dacf77217a6f6798bb5c0c33fc24b40303bf%22	https://use.typekit.net/af/bb5c38/00000000000000007735c433/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/bb5c38/00000000000000007735c433/30/l652f	(from https://use.typekit.net/vkq2rvl.css)
18:39:33	21012/21012	---M--	200	added ('OK')	application/font-woff	etag:%224842dacf77217a6f6798bb5c0c33fc24b40303bf%22	https://use.typekit.net/af/bb5c38/00000000000000007735c433/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/bb5c38/00000000000000007735c433/30/d652f	(from https://use.typekit.net/vkq2rvl.css)
18:39:33	36624/36624	---M-Z	200	added ('OK')	font/opentype	etag:W/%224842dacf77217a6f6798bb5c0c33fc24b40303bf%22	https://use.typekit.net/af/bb5c38/00000000000000007735c433/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/bb5c38/00000000000000007735c433/30/a652f	(from https://use.typekit.net/vkq2rvl.css)
18:39:34	36688/36688	---M--	200	added ('OK')	application/font-woff2	etag:%22e71c62363438666a27ba796e540686feaef5f71c%22	https://use.typekit.net/af/cb3d34/00000000000000007735cc39/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i6&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/cb3d34/00000000000000007735cc39/30/l1f8b	(from https://use.typekit.net/vkq2rvl.css)
18:39:34	37924/37924	---M--	200	added ('OK')	application/font-woff	etag:%22e71c62363438666a27ba796e540686feaef5f71c%22	https://use.typekit.net/af/cb3d34/00000000000000007735cc39/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i6&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/cb3d34/00000000000000007735cc39/30/d1f8b	(from https://use.typekit.net/vkq2rvl.css)
18:39:34	56788/56788	---M-Z	200	added ('OK')	font/opentype	etag:W/%22e71c62363438666a27ba796e540686feaef5f71c%22	https://use.typekit.net/af/cb3d34/00000000000000007735cc39/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i6&v=3	C:/Meus%20Sites/emeral/use.typekit.net/af/cb3d34/00000000000000007735cc39/30/a1f8b	(from https://use.typekit.net/vkq2rvl.css)
18:39:34	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/a	C:/Meus%20Sites/emeral/playemeralfates.com/a.2a.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:39:35	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/POST	C:/Meus%20Sites/emeral/playemeralfates.com/POST.2b.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:39:35	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/b.resolvedLink	C:/Meus%20Sites/emeral/playemeralfates.com/b.2c.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:39:35	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/schema.org/	C:/Meus%20Sites/emeral/playemeralfates.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:39:35	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/d	C:/Meus%20Sites/emeral/playemeralfates.com/d.2d.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:39:36	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/signals/iwl.js	C:/Meus%20Sites/emeral/playemeralfates.com/signals/iwl.2e.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:39:36	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/c.dl	C:/Meus%20Sites/emeral/playemeralfates.com/c.2f.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:39:36	3449/3449	---M-Z	404	error ('Not%20Found')	text/html	etag:1742632912-ssl-df	https://playemeralfates.com/c.rl	C:/Meus%20Sites/emeral/playemeralfates.com/c.30.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
18:39:38	147250054/147250054	---M-Z	200	added ('OK')	application/x-rar-compressed	etag:%22f6f2653ff63e6220464440a41d55c4f3-ssl-df%22	https://playemeralfates.com/G17EmeralFATES.rar	C:/Meus%20Sites/emeral/playemeralfates.com/G17EmeralFATES.rar	(from https://playemeralfates.com/)
18:39:39	1/1	---M--	200	added ('OK')	text/plain	etag:%22680c03df-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/vkq2rvl.css)
